אכל,есть;поглощать,eat;consume
אמר,говорить;sказать,say;tell
אבד,терять;гибнуть,lose;perish
אהב,любить,love
בוא,приходить;входить,come;enter
בנה,строить,build
ברא,создавать,create
ברח,бежать;избегать,run;escape
בקש,искать;просить,seek;request
גאל,освобождать;выкупать,redeem;liberate
גבה,быть высоким,be high;be lofty
גדל,расти;становиться большим,grow;become big
גלה,открывать;обнаруживать,discover;reveal
גלל,катить;оборачивать,roll;wrap
געג,трогать;касаться,touch;feel
גמר,заканчивать,finish;complete
גרש,изгонять;удалять,expel;remove
דבר,говорить;sказать,speak;talk
דע,знать,know
דרש,требовать;исследовать,demand;investigate
הלך,идти;ходить,go;walk
הרג,убивать,kill
זכר,помнить,remember
חבא,прятать;укрывать,hide;cover
חבק,обнимать;держать,embrace;hold
חבר,связывать;объединять,connect;join
חזק,укреплять;усиливать,strengthen;fortify
חטא,грешить,sin
חיה,жить;оживать,live;revive
חכם,быть мудрым,be wise
חלם,мечтать;видеть сны,dream
חמד,желать;вожделеть,desire;covet
חסר,недоставать;lacking,be missing;lack
חתם,подписывать;запечатывать,sign;seal
יצא,выходить;покидать,exit;leave
ידע,знать;быть знакомым,know;be acquainted
ירא,бояться;трепетать,fear;dread
ירד,спускаться;падать,descend;fall
ירש,наследовать,inherit
ישב,сидеть;жить,sit;dwell
כבד,быть тяжелым;почитать,be heavy;honor
כנס,собирать;вводить,gather;introduce
כתב,писать,write
לבש,надевать;носить,wear;put on
לחם,бороться;сражаться,fight;combat
למד,учить;изучать,learn;study
מצא,находить,find
מכר,продавать,sell
מלך,царствовать,rule;reign
מנע,удерживать;запрещать,prevent;forbid
נתן,давать,give
נפל,падать,fall
נשק,целовать,kiss
סגר,закрывать,close
סלח,прощать,forgive
ספר,считать;рассказывать,count;tell
עבר,переходить;проходить,pass;cross
עלה,подниматься;взбираться,ascend;climb
עמד,стоять,stand
ענה,отвечать;реагировать,answer;respond
עשה,делать;создавать,do;make
פחד,бояться,be afraid
פתח,открывать,open
צחק,смеяться,laugh
צמח,расти;произрастать,grow;flourish
צעק,кричать;взывать,shout;cry out
קבר,хоронить,bury
קדש,освящать;посвящать,sanctify;dedicate
קוה,надеяться;ждать,hope;wait
קטן,быть маленьким,be small
קרא,звать;читать,call;read
ראה,видеть;наблюдать,see;observe
רוץ,бегать,run
רחץ,мыть;купать,wash;bathe
רקד,танцевать,dance
רצח,убивать;murder,kill;murder
שאל,спрашивать;задавать вопрос,ask;question
שב,возвращаться;вернуть,return;bring back
שבר,ломать;разрушать,break;destroy
שבח,хвалить;прославлять,praise;glorify
שוב,возвращаться,return
שוח,говорить;беседовать,talk;converse
שול,посылать;отправлять,send
שמור,хранить;оберегать,guard;keep
שמע,слышать;слушать,hear;listen
שנא,ненавидеть,hate
שפך,лить;проливать,pour;spill
שרף,жечь;сжигать,burn;incinerate
שרת,служить;обслуживать,serve;minister
שתה,пить,drink
